,State,County,Percent GOP
168,CA,Colusa,0.600341006
169,CA,Contra Costa,0.32041212
170,CA,Del Norte,0.536020151
171,CA,El Dorado,0.577970974
172,CA,Fresno,0.505664544
173,CA,Glenn,0.613432509
174,CA,Humboldt,0.338304264
175,CA,Imperial,0.347685135
176,CA,Inyo,0.544685433
177,CA,Kern,0.593875657
178,CA,Kings,0.570158267
179,CA,Lake,0.397812462
180,CA,Lassen,0.684806187
181,CA,Los Angeles,0.288153933
182,CA,Madera,0.586618065
183,CA,Marin,0.235148964
184,CA,Mariposa,0.568097373
185,CA,Mendocino,0.2860888
186,CA,Merced,0.463077288
187,CA,Modoc,0.697190166
188,CA,Mono,0.447834045
189,CA,Monterey,0.319490079
190,CA,Napa,0.36023135
191,CA,Nevada,0.508553655
192,CA,Orange,0.530288892
193,CA,Placer,0.589432021
194,CA,Plumas,0.574057844
195,CA,Riverside,0.492142895
196,CA,Sacramento,0.406318122
197,CA,San Benito,0.404221213
198,CA,San Bernardino,0.4616733
199,CA,San Diego,0.464361125
200,CA,San Francisco,0.132868984
201,CA,San Joaquin,0.446175136
202,CA,San Luis Obispo,0.480454433
203,CA,San Mateo,0.265534856
204,CA,Santa Barbara,0.401333795
205,CA,Santa Clara,0.277304464
206,CA,Santa Cruz,0.21074126
207,CA,Shasta,0.638587609
208,CA,Sierra,0.593591906
209,CA,Siskiyou,0.562353613
210,CA,Solano,0.349034749
211,CA,Sonoma,0.259852735
212,CA,Stanislaus,0.484257067
213,CA,Sutter,0.599199543
214,CA,Tehama,0.621744642
215,CA,Trinity,0.481510934
216,CA,Tulare,0.579223418
217,CA,Tuolumne,0.565107459
218,CA,Ventura,0.462544838
219,CA,Yolo,0.320064415
220,CA,Yuba,0.582717036
222,CO,Adams,0.562512771
223,CO,Alamosa,0.566931495
224,CO,Arapahoe,0.531639358
225,CO,Archuleta,0.396780018
226,CO,Baca,0.220419847
227,CO,Bent,0.413609782
228,CO,Boulder,0.695612764
229,CO,Broomfield,0.517318505
230,CO,Chaffee,0.486150533
231,CO,Cheyenne,0.155023923
232,CO,Clear Creek,0.542067736
233,CO,Conejos,0.541345915
234,CO,Costilla,0.730044346
235,CO,Crowley,0.356191744
236,CO,Custer,0.319614386
237,CO,Delta,0.289649895
238,CO,Denver,0.73454287
239,CO,Dolores,0.270114943
240,CO,Douglas,0.360235749
241,CO,Eagle,0.563064271
242,CO,Elbert,0.253126563
243,CO,El Paso,0.380941496
244,CO,Fremont,0.327969197
245,CO,Garfield,0.463768728
246,CO,Gilpin,0.566799144
247,CO,Grand,0.449064188
248,CO,Gunnison,0.576718908
249,CO,Hinsdale,0.381270903
250,CO,Huerfano,0.523599227
251,CO,Jackson,0.254716981
252,CO,Jefferson,0.509973313
253,CO,Kiowa,0.143727162
254,CO,Kit Carson,0.223829787
255,CO,Lake,0.603742065
256,CO,La Plata,0.528990342
257,CO,Larimer,0.513542574
258,CO,Las Animas,0.502449479
259,CO,Lincoln,0.238879004
260,CO,Logan,0.296234773
261,CO,Mesa,0.325177814
262,CO,Mineral,0.447692308
263,CO,Moffat,0.21367097
264,CO,Montezuma,0.366742969
265,CO,Montrose,0.307127112
266,CO,Morgan,0.358942546
267,CO,Otero,0.443587511
268,CO,Ouray,0.515237198
269,CO,Park,0.410978573
270,CO,Phillips,0.259602649
271,CO,Pitkin,0.679824113
272,CO,Prowers,0.311499272
273,CO,Pueblo,0.554170191
274,CO,Rio Blanco,0.169435216
275,CO,Rio Grande,0.44525949
276,CO,Routt,0.566728026
277,CO,Saguache,0.63018598
278,CO,San Juan,0.5256917
279,CO,San Miguel,0.702491103
280,CO,Sedgwick,0.313388182
281,CO,Summit,0.609722038
282,CO,Teller,0.320652174
283,CO,Washington,0.179587067
284,CO,Weld,0.420764009
285,CO,Yuma,0.212006249
287,CT,Andover,0.548876746
288,CT,Ansonia,0.613319937
289,CT,Ashford,0.612517257
290,CT,Avon,0.527747552
291,CT,Barkhamsted,0.490736342
292,CT,Beacon Falls,0.439337614
293,CT,Berlin,0.500637291
294,CT,Bethany,0.506269592
295,CT,Bethel,0.511839709
296,CT,Bethlehem,0.409715857
297,CT,Bloomfield,0.833992095
298,CT,Bolton,0.492270697
299,CT,Bozrah,0.50310559
300,CT,Branford,0.58203618
301,CT,Bridgeport,0.857482122
302,CT,Bridgewater,0.446037099
303,CT,Bristol,0.5514364
304,CT,Brookfield,0.436809816
305,CT,Brooklyn,0.51552795
306,CT,Burlington,0.462338172
307,CT,Canaan,0.633663366
308,CT,Canterbury,0.470703893
309,CT,Canton,0.512346745
310,CT,Chaplin,0.543761639
311,CT,Cheshire,0.496556846
312,CT,Chester,0.654338549
313,CT,Clinton,0.547178398
314,CT,Colchester,0.525678603
315,CT,Colebrook,0.443925234
316,CT,Columbia,0.557579701
317,CT,Cornwall,0.712344281
318,CT,Coventry,0.562927605
319,CT,Cromwell,0.552939575
320,CT,Danbury,0.584457781
321,CT,Darien,0.336079425
322,CT,Deep River,0.607891492
323,CT,Derby,0.554322305
324,CT,Durham,0.5
325,CT,Eastford,0.460774578
326,CT,East Granby,0.482626824
327,CT,East Haddam,0.53003003
328,CT,East Hampton,0.520777679
329,CT,East Hartford,0.746397198
330,CT,East Haven,0.578039285
331,CT,East Lyme,0.576084352
332,CT,Easton,0.431551805
333,CT,East Windsor,0.570261741
334,CT,Ellington,0.473047594
335,CT,Enfield,0.559168825
336,CT,Essex,0.561006289
337,CT,Fairfield,0.510540206
338,CT,Farmington,0.508853411
339,CT,Franklin,0.491943128
340,CT,Glastonbury,0.528801002
341,CT,Goshen,0.419607843
342,CT,Granby,0.482753214
343,CT,Greenwich,0.433110368
344,CT,Griswold,0.53260421
345,CT,Groton,0.600401031
346,CT,Guilford,0.583865123
347,CT,Haddam,0.504950495
348,CT,Hamden,0.713048327
349,CT,Hampton,0.584062196
350,CT,Hartford,0.932367717
351,CT,Hartland,0.342715232
352,CT,Harwinton,0.388409371
353,CT,Hebron,0.513295253
354,CT,Kent,0.633059789
355,CT,Killingly,0.54015931
356,CT,Killingworth,0.503406709
357,CT,Lebanon,0.518927881
358,CT,Ledyard,0.516521739
359,CT,Lisbon,0.548780488
360,CT,Litchfield,0.464378238
361,CT,Lyme,0.581126952
362,CT,Madison,0.502515902
363,CT,Manchester,0.652101052
364,CT,Mansfield,0.741322226
365,CT,Marlborough,0.510401824
366,CT,Meriden,0.676451877
367,CT,Middlebury,0.365481126
368,CT,Middlefield,0.525403702
369,CT,Middletown,0.68401009
370,CT,Milford,0.536504946
371,CT,Monroe,0.430188679
372,CT,Montville,0.555186722
373,CT,Morris,0.414056532
374,CT,Naugatuck,0.496979359
375,CT,New Britain,0.756837043
376,CT,New Canaan,0.350211747
377,CT,New Fairfield,0.431614495
378,CT,New Hartford,0.453233703
379,CT,New Haven,0.892973142
380,CT,Newington,0.596674584
381,CT,New London,0.789504648
382,CT,New Milford,0.504559271
383,CT,Newtown,0.46806175
384,CT,Norfolk,0.585879874
385,CT,North Branford,0.500890472
386,CT,North Canaan,0.552858262
387,CT,North Haven,0.5099984
388,CT,North Stonington,0.507895703
389,CT,Norwalk,0.630130426
390,CT,Norwich,0.660940885
391,CT,Old Lyme,0.561499671
392,CT,Old Saybrook,0.524171738
393,CT,Orange,0.456871438
394,CT,Oxford,0.393907245
395,CT,Plainfield,0.542568807
396,CT,Plainville,0.570478223
397,CT,Plymouth,0.477017937
398,CT,Pomfret,0.513261982
399,CT,Portland,0.546461538
400,CT,Preston,0.486836607
401,CT,Prospect,0.357156729
402,CT,Putnam,0.537562116
403,CT,Redding,0.520837227
404,CT,Ridgefield,0.462988176
405,CT,Rocky Hill,0.555758487
406,CT,Roxbury,0.513202437
407,CT,Salem,0.513564079
408,CT,Salisbury,0.69193045
409,CT,Scotland,0.488622754
410,CT,Seymour,0.479682716
411,CT,Sharon,0.626388889
412,CT,Shelton,0.442340245
413,CT,Sherman,0.486641221
414,CT,Simsbury,0.498690147
415,CT,Somers,0.415487262
416,CT,Southbury,0.435475933
417,CT,Southington,0.499813624
418,CT,South Windsor,0.564316568
419,CT,Sprague,0.517512509
420,CT,Stafford,0.536628734
421,CT,Stamford,0.623261588
422,CT,Sterling,0.468191565
423,CT,Stonington,0.584723806
424,CT,Stratford,0.585352088
425,CT,Suffield,0.458258836
426,CT,Thomaston,0.413499867
427,CT,Thompson,0.488148148
428,CT,Tolland,0.51137769
429,CT,Torrington,0.474582149
430,CT,Trumbull,0.46123271
431,CT,Union,0.498062016
432,CT,Vernon,0.588841202
433,CT,Voluntown,0.49273021
434,CT,Wallingford,0.548261633
435,CT,Warren,0.488512696
436,CT,Washington,0.59414025
437,CT,Waterbury,0.74182723
438,CT,Waterford,0.562872437
439,CT,Watertown,0.378585971
440,CT,Westbrook,0.535603715
441,CT,West Hartford,0.659409409
442,CT,West Haven,0.704507348
443,CT,Weston,0.536589862
444,CT,Westport,0.564497907
445,CT,Wethersfield,0.556328932
446,CT,Willington,0.543462898
447,CT,Wilton,0.45368265
448,CT,Winchester,0.470299145
449,CT,Windham,0.738793651
450,CT,Windsor,0.719099009
451,CT,Windsor Locks,0.554895105
452,CT,Wolcott,0.378283924
453,CT,Woodbridge,0.584430674
454,CT,Woodbury,0.438242708
455,CT,Woodstock,0.478683089
457,DC,District of Columbia,0.071243651
459,DE,Kent,0.467954972
460,DE,New Castle,0.322376568
461,DE,Sussex,0.559094566
463,FL,Alachua,0.578749647
464,FL,Baker,0.203237727
465,FL,Bay,0.276035273
466,FL,Bradford,0.28578798
467,FL,Brevard,0.430719009
468,FL,Broward,0.671944976
469,FL,Calhoun,0.270481144
470,FL,Charlotte,0.423981858
471,FL,Citrus,0.384900505
472,FL,Clay,0.266652166
473,FL,Collier,0.346646096
474,FL,Columbia,0.311526709
475,FL,DeSoto,0.42319781
476,FL,Dixie,0.259040484
477,FL,Duval,0.477668313
478,FL,Escambia,0.391794112
479,FL,Flagler,0.458676787
480,FL,Franklin,0.337047863
481,FL,Gadsden,0.700955768
482,FL,Gilchrist,0.238366211
483,FL,Glades,0.401855102
484,FL,Gulf,0.283241874
485,FL,Hamilton,0.411917098
486,FL,Hardee,0.340764331
487,FL,Hendry,0.466470299
488,FL,Hernando,0.452083308
489,FL,Highlands,0.380466541
490,FL,Hillsborough,0.528451366
491,FL,Holmes,0.152767706
492,FL,Indian River,0.384673525
493,FL,Jackson,0.350620821
494,FL,Jefferson,0.505251025
495,FL,Lafayette,0.20211827
496,FL,Lake,0.40975888
497,FL,Lee,0.413781697
498,FL,Leon,0.612552668
499,FL,Levy,0.332572298
500,FL,Liberty,0.286845311
501,FL,Madison,0.479109275
502,FL,Manatee,0.433206691
503,FL,Marion,0.414103168
504,FL,Martin,0.381651027
505,FL,Miami-Dade,0.616448085
506,FL,Monroe,0.496657703
507,FL,Nassau,0.252918096
508,FL,Okaloosa,0.246888821
509,FL,Okeechobee,0.394123854
510,FL,Orange,0.586726147
511,FL,Osceola,0.618526052
512,FL,Palm Beach,0.582032545
513,FL,Pasco,0.460015561
514,FL,Pinellas,0.522348323
515,FL,Polk,0.460914187
516,FL,Putnam,0.372441976
517,FL,St. Johns,0.306407049
518,FL,St. Lucie,0.53540715
519,FL,Santa Rosa,0.231162779
520,FL,Sarasota,0.458406047
521,FL,Seminole,0.46228518
522,FL,Sumter,0.322782822
523,FL,Suwannee,0.269416236
524,FL,Taylor,0.302840847
525,FL,Union,0.248284814
526,FL,Volusia,0.489229496
527,FL,Wakulla,0.352961245
528,FL,Walton,0.234023876
529,FL,Washington,0.256410256
531,GA,Appling,0.248057635
532,GA,Atkinson,0.320468642
533,GA,Bacon,0.201323492
534,GA,Baker,0.498737374
535,GA,Baldwin,0.522326385
536,GA,Banks,0.125827815
537,GA,Barrow,0.239124389
538,GA,Bartow,0.234568247
539,GA,Ben Hill,0.42172524
540,GA,Berrien,0.204945854
541,GA,Bibb,0.596332689
542,GA,Bleckley,0.25820926
543,GA,Brantley,0.156473921
544,GA,Brooks,0.464847849
545,GA,Bryan,0.275684548
546,GA,Bulloch,0.398302264
547,GA,Burke,0.552849688
548,GA,Butts,0.316474605
549,GA,Calhoun,0.59304984
550,GA,Camden,0.354443082
551,GA,Candler,0.327566648
552,GA,Carroll,0.304861865
553,GA,Catoosa,0.226617031
554,GA,Charlton,0.318097263
555,GA,Chatham,0.554896691
556,GA,Chattahoochee,0.489548213
557,GA,Chattooga,0.284944166
558,GA,Cherokee,0.202088922
559,GA,Clarke,0.632467985
560,GA,Clay,0.614835949
561,GA,Clayton,0.84814622
562,GA,Clinch,0.344660194
563,GA,Cobb,0.428902
564,GA,Coffee,0.349729805
565,GA,Colquitt,0.298145506
566,GA,Columbia,0.279052378
567,GA,Cook,0.338808694
568,GA,Coweta,0.273022049
569,GA,Crawford,0.331641616
570,GA,Crisp,0.427836447
571,GA,Dade,0.234117059
572,GA,Dawson,0.121262458
573,GA,Decatur,0.437649307
574,GA,DeKalb,0.7785941
575,GA,Dodge,0.315612469
576,GA,Dooly,0.531126137
577,GA,Dougherty,0.69295648
578,GA,Douglas,0.514664589
579,GA,Early,0.516358198
580,GA,Echols,0.156987296
581,GA,Effingham,0.237788151
582,GA,Elbert,0.390588524
583,GA,Emanuel,0.362158809
584,GA,Evans,0.355617978
585,GA,Fannin,0.202558209
586,GA,Fayette,0.336958938
587,GA,Floyd,0.293559737
588,GA,Forsyth,0.178239663
589,GA,Franklin,0.193244811
590,GA,Fulton,0.64232186
591,GA,Gilmer,0.17759811
592,GA,Glascock,0.132033008
593,GA,Glynn,0.36068252
594,GA,Gordon,0.203832236
595,GA,Grady,0.364071984
596,GA,Greene,0.384337784
597,GA,Gwinnett,0.446200433
598,GA,Habersham,0.157328767
599,GA,Hall,0.210816833
600,GA,Hancock,0.80986261
601,GA,Haralson,0.172457055
602,GA,Harris,0.267523742
603,GA,Hart,0.301968214
604,GA,Heard,0.227534839
605,GA,Henry,0.479434945
606,GA,Houston,0.390989778
607,GA,Irwin,0.307901168
608,GA,Jackson,0.17896071
609,GA,Jasper,0.305990017
610,GA,Jeff Davis,0.238461538
611,GA,Jefferson,0.583104018
612,GA,Jenkins,0.439161252
613,GA,Johnson,0.345970308
614,GA,Jones,0.353087032
615,GA,Lamar,0.342864673
616,GA,Lanier,0.374577417
617,GA,Laurens,0.383237201
618,GA,Lee,0.234217682
619,GA,Liberty,0.646355071
620,GA,Lincoln,0.358418079
621,GA,Long,0.378763867
622,GA,Lowndes,0.443356643
623,GA,Lumpkin,0.188361831
624,GA,Macon,0.671616817
625,GA,Madison,0.224388483
626,GA,Marion,0.445532049
627,GA,McDuffie,0.421596244
628,GA,McIntosh,0.451602716
629,GA,Meriwether,0.467437088
630,GA,Miller,0.306137184
631,GA,Mitchell,0.49329143
632,GA,Monroe,0.308263317
633,GA,Montgomery,0.296267293
634,GA,Morgan,0.305124224
635,GA,Murray,0.22678205
636,GA,Muscogee,0.603010936
637,GA,Newton,0.50546094
638,GA,Oconee,0.24875323
639,GA,Oglethorpe,0.305688718
640,GA,Paulding,0.275596465
641,GA,Peach,0.534046439
642,GA,Pickens,0.155843131
643,GA,Pierce,0.164207451
644,GA,Pike,0.167304606
645,GA,Polk,0.265684831
646,GA,Pulaski,0.331160011
647,GA,Putnam,0.316892993
648,GA,Quitman,0.542553191
649,GA,Rabun,0.20946491
650,GA,Randolph,0.580099502
651,GA,Richmond,0.665200025
652,GA,Rockdale,0.577575966
653,GA,Schley,0.256292906
654,GA,Screven,0.454455933
655,GA,Seminole,0.391766268
656,GA,Spalding,0.39446063
657,GA,Stephens,0.224252667
658,GA,Stewart,0.636009732
659,GA,Sumter,0.53891709
660,GA,Talbot,0.648710602
661,GA,Taliaferro,0.661810614
662,GA,Tattnall,0.284469811
663,GA,Taylor,0.444161719
664,GA,Telfair,0.416243655
665,GA,Terrell,0.578444748
666,GA,Thomas,0.403895898
667,GA,Tift,0.333981142
668,GA,Toombs,0.293581914
669,GA,Towns,0.205390485
670,GA,Treutlen,0.390065741
671,GA,Troup,0.405967276
672,GA,Turner,0.424071991
673,GA,Twiggs,0.540366754
674,GA,Union,0.193009393
675,GA,Upson,0.351336946
676,GA,Walker,0.240824535
677,GA,Walton,0.216635614
678,GA,Ware,0.326427912
679,GA,Warren,0.604678826
680,GA,Washington,0.534902228
681,GA,Wayne,0.252875804
682,GA,Webster,0.487659574
683,GA,Wheeler,0.357407407
684,GA,White,0.15948811
685,GA,Whitfield,0.268115402
686,GA,Wilcox,0.338988476
687,GA,Wilkes,0.438263801
688,GA,Wilkinson,0.490107914
689,GA,Worth,0.295600476
691,HI,Hawaii,0.232087849
692,HI,Honolulu,0.297874883
693,HI,Kauai,0.241278726
694,HI,Maui,0.238469936
696,IA,Adair,0.532962869
697,IA,Adams,0.511121409
698,IA,Allamakee,0.473329426
699,IA,Appanoose,0.510524611
700,IA,Audubon,0.523407967
701,IA,Benton,0.496812093
702,IA,Black Hawk,0.393897742
703,IA,Boone,0.45936644
704,IA,Bremer,0.482902103
705,IA,Buchanan,0.424031304
706,IA,Buena Vista,0.546503244
707,IA,Butler,0.546471372
708,IA,Calhoun,0.556840077
709,IA,Carroll,0.527076836
710,IA,Cass,0.587693596
711,IA,Cedar,0.47235023
712,IA,Cerro Gordo,0.428231697
713,IA,Cherokee,0.574210774
714,IA,Chickasaw,0.438873414
715,IA,Clarke,0.482946794
716,IA,Clay,0.587380952
717,IA,Clayton,0.458882125
718,IA,Clinton,0.37884453
719,IA,Crawford,0.536045468
720,IA,Dallas,0.553480251
721,IA,Davis,0.570626003
722,IA,Decatur,0.51023085
723,IA,Delaware,0.496406736
724,IA,Des Moines,0.401204106
725,IA,Dickinson,0.584206365
726,IA,Dubuque,0.420955737
727,IA,Emmet,0.537882049
728,IA,Fayette,0.434959744
729,IA,Floyd,0.421244531
730,IA,Franklin,0.548996688
731,IA,Fremont,0.539261286
732,IA,Greene,0.493963364
733,IA,Grundy,0.61030479
734,IA,Guthrie,0.541502653
735,IA,Hamilton,0.506351626
736,IA,Hancock,0.562149294
737,IA,Hardin,0.52957265
738,IA,Harrison,0.557401813
739,IA,Henry,0.522729637
740,IA,Howard,0.387675676
741,IA,Humboldt,0.604800937
742,IA,Ida,0.627688913
743,IA,Iowa,0.517865271
744,IA,Jackson,0.410289199
745,IA,Jasper,0.457467114
746,IA,Jefferson,0.407971446
747,IA,Johnson,0.314381807
748,IA,Jones,0.454343843
749,IA,Keokuk,0.543957096
750,IA,Kossuth,0.55632288
751,IA,Lee,0.411632703
752,IA,Linn,0.404936733
753,IA,Louisa,0.490957123
754,IA,Lucas,0.526094079
755,IA,Lyon,0.767862666
756,IA,Madison,0.551842752
757,IA,Mahaska,0.595713093
758,IA,Marion,0.55942062
759,IA,Marshall,0.449137609
760,IA,Mills,0.587390152
761,IA,Mitchell,0.473655914
762,IA,Monona,0.542808583
763,IA,Monroe,0.531825355
764,IA,Montgomery,0.5998
765,IA,Muscatine,0.413261685
766,IA,O'Brien,0.720904729
767,IA,Osceola,0.699905631
768,IA,Page,0.618477331
769,IA,Palo Alto,0.545398394
770,IA,Plymouth,0.664420172
771,IA,Pocahontas,0.598196393
772,IA,Polk,0.421988636
773,IA,Pottawattamie,0.521869527
774,IA,Poweshiek,0.447250964
775,IA,Ringgold,0.529868115
776,IA,Sac,0.587138508
777,IA,Scott,0.425522677
778,IA,Shelby,0.604553903
779,IA,Sioux,0.8358652
780,IA,Story,0.420318511
781,IA,Tama,0.45643897
782,IA,Taylor,0.564137005
783,IA,Union,0.474656721
784,IA,Van Buren,0.581355932
785,IA,Wapello,0.433589251
786,IA,Warren,0.503613527
787,IA,Washington,0.509191176
788,IA,Wayne,0.548510049
789,IA,Webster,0.4665526
790,IA,Winnebago,0.492854712
791,IA,Winneshiek,0.419208424
792,IA,Woodbury,0.495190372
793,IA,Worth,0.420709631
794,IA,Wright,0.53595724
796,ID,Ada,0.54042171
797,ID,Adams,0.68592233
798,ID,Bannock,0.595859331
799,ID,Bear Lake,0.881998583
800,ID,Benewah,0.66838311
801,ID,Bingham,0.763506221
802,ID,Blaine,0.386403767
803,ID,Boise,0.682810164
804,ID,Bonner,0.613239102
805,ID,Bonneville,0.746755346
806,ID,Boundary,0.690580986
807,ID,Butte,0.778382582
808,ID,Camas,0.69550173
809,ID,Canyon,0.671342109
810,ID,Caribou,0.855081967
811,ID,Cassia,0.852509837
812,ID,Clark,0.716463415
813,ID,Clearwater,0.6875
814,ID,Custer,0.741496599
815,ID,Elmore,0.653293338
816,ID,Franklin,0.927678571
817,ID,Fremont,0.845742847
818,ID,Gem,0.709078772
819,ID,Gooding,0.722157093
820,ID,Idaho County,0.751193702
821,ID,Jefferson,0.869431509
822,ID,Jerome,0.719054034
823,ID,Kootenai,0.658372934
824,ID,Latah,0.452831315
825,ID,Lemhi,0.737162327
826,ID,Lewis,0.727667494
827,ID,Lincoln,0.703452528
828,ID,Madison,0.932903136
829,ID,Minidoka,0.780438836
830,ID,Nez Perce,0.591583571
831,ID,Oneida,0.879846817
832,ID,Owyhee,0.750470051
833,ID,Payette,0.706768687
834,ID,Power,0.644161213
835,ID,Shoshone,0.524281274
836,ID,Teton,0.543444616
837,ID,Twin Falls,0.702615308
838,ID,Valley,0.541573491
839,ID,Washington,0.722401848
841,IL,Adams,0.667070535
842,IL,Alexander,0.424892704
843,IL,Bond,0.559185347
844,IL,Boone,0.519570618
845,IL,Brown,0.639712108
846,IL,Bureau,0.491053678
847,IL,Calhoun,0.559052059
848,IL,Carroll,0.481818182
849,IL,Cass,0.557225196
850,IL,Champaign,0.452022675
851,IL,Christian,0.604345457
852,IL,Clark,0.655106464
853,IL,Clay,0.709272758
854,IL,Clinton,0.640051238
855,IL,Coles,0.54470897
856,IL,Cook,0.246453278
857,IL,Crawford,0.648639218
858,IL,Cumberland,0.662759924
859,IL,DeKalb,0.460897123
860,IL,DeWitt,0.623603162
861,IL,Douglas,0.675751046
862,IL,DuPage,0.486772767
863,IL,Edgar,0.656209987
864,IL,Edwards,0.744806202
865,IL,Effingham,0.752696595
866,IL,Fayette,0.663840232
867,IL,Ford,0.704166667
868,IL,Franklin,0.573081438
869,IL,Fulton,0.431766317
870,IL,Gallatin,0.580770728
871,IL,Greene,0.613822586
872,IL,Grundy,0.534357702
873,IL,Hamilton,0.652096569
874,IL,Hancock,0.584518167
875,IL,Hardin,0.658798283
876,IL,Henderson,0.431658715
877,IL,Henry,0.476296388
878,IL,Iroquois,0.713782302
879,IL,Jackson,0.430863615
880,IL,Jasper,0.696903533
