Estimate; Total: 0.0
Estimate; Total: 0.0
Percent Males; Estimate; Population 25 to 34 years - High school graduate or higher: 0.00258456973928
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.00246665763229
Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate: 0.00242060870624
Percent Males; Estimate; Asian alone - High school graduate or higher: 0.00233259916245
Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.0022149691593
Percent Males; Estimate; Population 35 to 44 years - High school graduate or higher: 0.00221154946051
Percent; Estimate; Some other race alone - Bachelor's degree or higher: 0.00207952528754
Percent; Estimate; Asian alone - High school graduate or higher: 0.00200021410641
Percent Males; Estimate; Hispanic or Latino Origin - High school graduate or higher: 0.00192241912835
Percent Females; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 0.00183622709894
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.00172569555264
Percent Females; Estimate; Asian alone - High school graduate or higher: 0.00166292641221
Percent; Estimate; Population 18 to 24 years - Less than high school graduate: 0.00162930999804
Percent Females; Estimate; Black alone - High school graduate or higher: 0.0015687487725
Percent; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00154422176657
Percent; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.00151650253357
Percent; Estimate; Some other race alone - High school graduate or higher: 0.0014580359674
Total; Estimate; Hispanic or Latino origin (of any race): 0.0014352763674
Percent Females; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 0.00130115083049
Percent; Estimate; Population 35 to 44 years - High school graduate or higher: 0.00126093505246
Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 0.00121101086235
Total; Estimate; White alone, not Hispanic or Latino: 0.00120248884133
Percent Males; Estimate; Two or more races - High school graduate or higher: 0.00119851792627
Percent Females; Estimate; Two or more races - High school graduate or higher: 0.00106006898374
Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.00105563438188
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.00104050961561
Percent; Estimate; Two or more races - High school graduate or higher: 0.00102579983958
Percent; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.000994291464364
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 0.000931610920898
Percent; Estimate; Black alone - Bachelor's degree or higher: 0.000894385608338
Percent Males; Estimate; Population 25 years and over - Less than 9th grade: 0.00063870676622
Percent; Estimate; Black alone - High school graduate or higher: 0.000572121627033
Percent Males; Estimate; Population 18 to 24 years - Some college or associate's degree: 0.000340399877964
Percent Males; Estimate; Percent high school graduate or higher: 0.000317568140187
Mean income (dollars); Estimate; All households - With Social Security income: 0.000205567023388
Percent; Estimate; Hispanic or Latino Origin - High school graduate or higher: 0.000203327637532
Percent Males; Estimate; Population 18 to 24 years - Less than high school graduate: 0.000139034438105
Mean income (dollars); Estimate; All households - With cash public assistance income: 0.000138755450984
Percent Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 0.000114640902321
Percent; Estimate; Asian alone - Bachelor's degree or higher: 0.000112771002067
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 9.09491426388e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 5.51929280515e-05
Mean income (dollars); Estimate; All households: 5.27956644479e-05
Mean income (dollars); Estimate; All households - With earnings: 4.99863081259e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 4.78950075366e-05
Mean income (dollars); Estimate; All households - With retirement income: 4.37263002013e-05
Estimate; Total: - Two or more races:: 2.72393082912e-05
Estimate; Total: - Native Hawaiian and Other Pacific Islander alone: 2.69990264193e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 2.03665029667e-05
Estimate; Total: - Two or more races: - Two races including Some other race: 2.01501958497e-05
Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI): 1.90810633448e-05
Estimate; Total: - American Indian and Alaska Native alone: 1.27314714409e-05
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 9.03354412776e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 8.80515897294e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 8.60706765696e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 6.58773128404e-06
Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races: 6.49022711372e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 5.3584787634e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 5.09789992181e-06
Total; Estimate; All households: 4.75230180576e-06
Estimate; Total: - Black or African American alone: 4.18030062749e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 4.07122761253e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 3.91031312904e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 3.7582235699e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked: 3.21535680908e-06
Estimate; Total: - Some other race alone: 3.14204574601e-06
Mean income (dollars); Estimate; White alone, not Hispanic or Latino: 2.99843360315e-06
Estimate; Total: - Asian alone: 1.77127193049e-06
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 1.13629875916e-06
Estimate; Total:: 1.06864452536e-06
Mean income (dollars); Estimate; Hispanic or Latino origin (of any race): 8.06302546865e-07
Estimate; Total: - White alone: 7.65664638559e-07
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 7.64139782639e-07
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 7.07533565414e-07
Estimate; Total: 5.17408905196e-08
Percent; Estimate; Percent bachelor's degree or higher: 0.0
Percent Males; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.0
Percent; Estimate; Population 25 years and over - Less than 9th grade: 0.0
Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months: 0.0
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.0
Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months: 0.0
Percent; Estimate; Population 45 to 64 years - High school graduate or higher: 0.0
Percent; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.417510187585
Percent Females; Margin of Error; Percent high school graduate or higher: 0.368790986396
Percent Females; Margin of Error; Population 25 years and over - Less than 9th grade: 0.277135207176
Percent Males; Margin of Error; Population 25 years and over - Less than 9th grade: 0.259493718769
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.257873280136
Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.255828126857
Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.240333339959
Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree: 0.238218694609
Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.232350412524
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.23145040493
Percent; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.201405668559
Percent Females; Margin of Error; Population 25 years and over - Some college, no degree: 0.197303818897
Percent Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.177978811886
Percent Females; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.17529013888
Percent; Margin of Error; Percent bachelor's degree or higher: 0.169944908709
Percent Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.16267544788
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 0.157733477911
Percent; Margin of Error; Percent high school graduate or higher: 0.148477080557
Percent Females; Estimate; Population 25 years and over - Graduate or professional degree: 0.144655445219
Percent Females; Estimate; Percent bachelor's degree or higher: 0.139657704175
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 0.130304027834
Percent Males; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.127948732203
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.125655683769
Percent Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.123720410041
Percent Females; Margin of Error; Population 65 years and over - High school graduate or higher: 0.121396567819
Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.121390197369
Total; Margin of Error; All households - With retirement income: 0.11644638225
Percent Females; Estimate; Population 25 years and over - Less than 9th grade: 0.114902741816
Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.112025071823
Percent Males; Margin of Error; Percent high school graduate or higher: 0.111614257674
Percent Males; Margin of Error; Population 65 years and over - High school graduate or higher: 0.111407649547
Percent; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.111156826277
Percent; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.110979239265
Percent Females; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.109852025157
Percent Females; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.107139874349
Percent Males; Estimate; Percent bachelor's degree or higher: 0.105165413673
Percent; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.103072684772
Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.0997378927888
Total; Estimate; All households - With cash public assistance income: 0.0971316049892
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 0.0954244713149
Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.093382813583
Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.090560499949
Percent; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.0902255201269
Percent Females; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.0881404215475
Total; Estimate; All households - With Social Security income: 0.0868353838437
Percent Females; Estimate; Percent high school graduate or higher: 0.0860910374489
Percent; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.0855089633897
Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months: 0.0836689876987
Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0815193922569
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 0.0802362305405
Percent; Margin of Error; Population 65 years and over - High school graduate or higher: 0.0799188998504
Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.0795245332218
Percent Males; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.0790072104422
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 0.0780406300701
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 0.0769692052943
Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.0760668184183
Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.075053225602
Percent Females; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.0731856938198
Percent Males; Estimate; Population 25 years and over - Bachelor's degree: 0.0729266744234
Percent Females; Estimate; Population 25 years and over - Bachelor's degree: 0.0719243503818
Total; Estimate; All households - With interest, dividends, or net rental income: 0.0716150837153
Percent; Estimate; Population 25 years and over - Graduate or professional degree: 0.0696107894771
Percent Females; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.0688688556451
Percent Females; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.0688071089361
Percent Males; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.0681956583165
Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.068034173426
Percent Females; Estimate; Population 45 to 64 years - High school graduate or higher: 0.0666304163847
Percent Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.0645650937252
Percent; Estimate; Percent bachelor's degree or higher: 0.059900660137
Percent Males; Margin of Error; Percent bachelor's degree or higher: 0.058119225268
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 0.0576235366828
Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months: 0.0570190475513
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0556088206107
Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.0543546433232
Percent; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.0541661310584
Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0538351283669
Percent; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.0537344055299
Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.0530615180934
Percent Females; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.0526360395143
Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0518114089609
Percent Females; Estimate; Population 25 years and over - Some college, no degree: 0.0515749139794
Total; Margin of Error; All households - With Supplemental Security Income (SSI): 0.0509246637405
Percent Females; Margin of Error; Percent bachelor's degree or higher: 0.0507843911359
Percent; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.0497810767163
Total; Estimate; All households - With Supplemental Security Income (SSI): 0.0491383382252
Percent; Margin of Error; Asian alone - Bachelor's degree or higher: 0.0491047427545
Total; Margin of Error; All households - With earnings: 0.0487629747167
Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.0474227943587
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0474078084351
Percent Males; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.0473557582126
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 0.0469760196973
Percent Males; Margin of Error; Black alone - Bachelor's degree or higher: 0.046800293035
